!
!Date: 01/12/2023
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
PDR5	YOR153W	resistance to chemicals: absent 	classical genetics 	classical genetics	reduction of function Allele: pdr5-S1230L	S288C	20 μM fluconazole		Chen Z, et al. (2014) PMID:24333836
PDR5	YOR153W	resistance to chemicals: absent 	classical genetics 	classical genetics	reduction of function Allele: pdr5-C793F	S288C	20 μM fluconazole		Chen Z, et al. (2014) PMID:24333836
YAP1	YML007W	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: yap1-Δ	Other	5 ug/disk CTBT, 20 ug/ml fluconazole		Cernicka J, et al. (2007) PMID:17204400
DAP1	YPL170W	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: dap1-Δ	W303	1 mg/ml fluconazole		Hand RA, et al. (2003) PMID:12684380
FLR1	YBR008C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: flr1-Δ	W303	9 mg/L fluconazole		Brôco N, et al. (1999) PMID:10572257
UPC2	YDR213W	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: upc2-Δ	S288C	  fluconazole		Marie C, et al. (2008) PMID:18675371
ECM22	YLR228C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: ecm22-Δ	S288C	  fluconazole		Marie C, et al. (2008) PMID:18675371
UPC2	YDR213W	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: upc2-Δ	W303	  fluconazole		Marie C, et al. (2008) PMID:18675371
ECM22	YLR228C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: ecm22-Δ	W303	  fluconazole		Marie C, et al. (2008) PMID:18675371
CRD1	YDL142C	resistance to chemicals: decreased 	classical genetics	classical genetics	null Allele: crd1-Δ	S288C	MIC 12 ug/ml  fluconazole		Sarinová M, et al. (2007) PMID:17702459
SPT20	YOL148C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: spt20-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SND3	YBR106W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: snd3-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
ISC1	YER019W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: isc1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VPH2	YKL119C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vph2-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
YPK1	YKL126W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ypk1-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SHE4	YOR035C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: she4-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
YKL118W	YKL118W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ykl118w-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
GET2	YER083C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: get2-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
NCL1	YBL024W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ncl1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SAC6	YDR129C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: sac6-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VMA11	YPL234C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vma11-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
ERG4	YGL012W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: erg4-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
YGL024W	YGL024W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ygl024w-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
YDJ1	YNL064C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ydj1-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
PDR5	YOR153W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pdr5-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VPS51	YKR020W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vps51-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
NDE1	YMR145C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: nde1-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
URE2	YNL229C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ure2-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
GAL11	YOL051W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: gal11-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
UME1	YPL139C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ume1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NEW1	YPL226W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: new1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CLN2	YPL256C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: cln2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BEM2	YER155C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bem2-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VPS29	YHR012W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vps29-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
GPH1	YPR160W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: gph1-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VPS1	YKR001C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vps1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
DRS2	YAL026C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: drs2-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
STP22	YCL008C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: stp22-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
CDC10	YCR002C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: cdc10-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
YDL118W	YDL118W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ydl118w-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
MRPL28	YDR462W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: mrpl28-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
GRR1	YJR090C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: grr1-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VPS25	YJR102C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vps25-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VPS36	YLR417W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vps36-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
KEX2	YNL238W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: kex2-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
YOL050C	YOL050C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: yol050c-Δ	S288C	15 ug/ml fluconazole	Details: strong sensitivity 	Parsons AB, et al. (2004) PMID:14661025
TPS1	YBR126C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: tps1-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
FEN2	YCR028C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: fen2-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
RPN4	YDL020C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rpn4-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SPT3	YDR392W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: spt3-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
NUT1	YGL151W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: nut1-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SPT4	YGR063C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: spt4-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
RIM101	YHL027W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rim101-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
YHR045W	YHR045W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: yhr045w-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
EMP46	YLR080W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: emp46-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
PDR16	YNL231C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pdr16-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
YNL235C	YNL235C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ynl235c-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
RIM21	YNL294C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rim21-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
DAP1	YPL170W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: dap1-Δ	S288C	15 ug/ml fluconazole	Details: moderate sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SLA1	YBL007C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: sla1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
BSD2	YBR290W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bsd2-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
PAT1	YCR077C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: pat1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
BRE1	YDL074C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: bre1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
SUM1	YDR310C	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: sum1-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
RVS167	YDR388W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: rvs167-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
YDR442W	YDR442W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: ydr442w-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
VPS52	YDR484W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: vps52-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
NOP16	YER002W	resistance to chemicals: decreased 	systematic mutation set	large-scale survey	null Allele: nop16-Δ	S288C	15 ug/ml fluconazole	Details: weak sensitivity 	Parsons AB, et al. (2004) PMID:14661025
